http://ucuenca.edu.ec/wkhuska/publication/erratum-to-clinical-risk-prediction-model-of-orthodontic-induced-external-apical-root-resorption-rev-port-estomatol-med-dent-cir-maxilofac-2014-55-66-72,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/fulminant-myocarditis-caused-by-legionella-pneumophila-case-report,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/neopopulismo-democracia-en-bolivia,Revista De Ciencia Politica,,
http://ucuenca.edu.ec/wkhuska/publication/cambio-en-la-dinamica-folicular-en-vacas-cebu-anestricas-sometidas-suspension-temporal-de-la-lactancia,Revista Colombiana De Ciencias Pecuarias,,
http://ucuenca.edu.ec/wkhuska/publication/streptococcus-massiliensis-in-the-human-mouth-phylogenetic-approach-for-the-inference-of-bacterial-habitats,Genetics and Molecular Research,,
http://ucuenca.edu.ec/wkhuska/publication/expresion-vascular-de-la-oxido-nitrico-sintasa-endotelial-enos-en-la-hipertension-arterial-esencial,Nefrologia,,
http://ucuenca.edu.ec/wkhuska/publication/conexion-anomala-de-la-vena-cava-inferior-la-auricula-izquierda-entidad-poco-frecuente-que-puede-plantear-un-reto-diagnostico-quirurgico,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/seamounts-in-the-southeastern-pacific-ocean-and-biodiversity-on-juan-fernandez-seamounts-chile,Latin American Journal of Aquatic Research,,
http://ucuenca.edu.ec/wkhuska/publication/64-modelo-de-previsao-do-risco-de-reabsorcao-radicular-apical-externa-induzida-pela-ortodontia,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/perfil-de-la-epilepsia-en-el-ecuador,Revista Ecuatoriana De Neurologia,,
http://ucuenca.edu.ec/wkhuska/publication/percutaneous-closure-of-patent-foramen-ovale-with-amplatzer-device-report-of-two-cases,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/tumores-oncociticos-da-supra-renal,Acta Médica Portuguesa,,
http://ucuenca.edu.ec/wkhuska/publication/hmga1-expression-in-human-hepatocellular-carcinoma-correlates-with-poor-prognosis-and-promotes-tumor-growth-and-migration-in-in-vitro-models,Neoplasia,,
http://ucuenca.edu.ec/wkhuska/publication/propuesta-metodologica-para-la-determinacion-de-las-epocas-climaticas-con-aplicacion-los-estudios-de-produccion-reproduccion-bovina-en-el-tropico,Revista Colombiana De Ciencias Pecuarias,,
http://ucuenca.edu.ec/wkhuska/publication/miocardite-fulminante-legionella-pneumophila-proposito-dum-caso-clinico,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/molecular-phylogeny-and-taxonomic-proposal-for-the-genus-streptococcus,Genetics and Molecular Research,,
http://ucuenca.edu.ec/wkhuska/publication/nefropatia-hipokaliemica-como-presentacion-de-un-sindrome-de-conn,Nefrologia,,
http://ucuenca.edu.ec/wkhuska/publication/oncocytic-tumors-of-the-adrenal-gland,Acta Médica Portuguesa,,
http://ucuenca.edu.ec/wkhuska/publication/hacia-una-produccion-enriquecida-trabajo-en-grupo-recualificacion-en-empresas-de-ingenieria-mecanica,Aibr-revista De Antropologia Iberoamericana,,
http://ucuenca.edu.ec/wkhuska/publication/efecto-del-peso-al-destete-los-18-meses-de-edad-sobre-el-comportamiento-reproductivo-futuro-de-las-novillas-cebu,Revista Colombiana De Ciencias Pecuarias,,
http://ucuenca.edu.ec/wkhuska/publication/collaboration-strategies-for-the-iberoamerican-cardiovascular-journals-network,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/montes-submarinos-en-el-oceano-pacifico-suroriental-biodiversidad-en-el-cordon-de-juan-fernandez-chile,Latin American Journal of Aquatic Research,,
http://ucuenca.edu.ec/wkhuska/publication/liberacion-de-gonadotropinas-hipofisiarias-factores-que-la-afectan-durante-el-posparto-bovino-revision,Revista Colombiana De Ciencias Pecuarias,,
http://ucuenca.edu.ec/wkhuska/publication/tumor-neuroendocrino-gastrico,Revista Portuguesa De Pneumologia,,
http://ucuenca.edu.ec/wkhuska/publication/estandarizacion-de-una-tecnica-de-elisa-para-rinotraqueitis-infecciosa-bovina-rib-determinacion-de-la-prevalencia-en-el-hato-blanco-orejinegro-bon-de-antioquia,Revista Colombiana De Ciencias Pecuarias,,
